G,Date,Start (ET), , .1,homeaway,Opponent, .3, .4,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
2,"Fri, Oct 27, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,122,114,1,1,W 1,"18,250",2:22,
3,"Sun, Oct 29, 2023",7:00p,,Box Score,@,Houston Rockets,W,,106,95,2,1,W 2,"18,055",2:17,
4,"Mon, Oct 30, 2023",8:00p,,Box Score,@,New Orleans Pelicans,W,,130,102,3,1,W 3,"17,286",2:08,
6,"Fri, Nov 3, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,W,,141,139,5,1,W 5,"16,827",2:39,In-Season Tournament
7,"Sun, Nov 5, 2023",6:00p,,Box Score,@,Cleveland Cavaliers,L,,104,115,5,2,L 1,"19,432",2:17,
8,"Mon, Nov 6, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,120,109,6,2,W 1,"20,062",2:09,
9,"Wed, Nov 8, 2023",10:00p,,Box Score,@,Denver Nuggets,L,,105,108,6,3,L 1,"19,737",2:20,
16,"Wed, Nov 22, 2023",10:00p,,Box Score,@,Phoenix Suns,L,,115,123,7,9,L 1,"17,071",2:45,
18,"Tue, Nov 28, 2023",10:00p,,Box Score,@,Sacramento Kings,L,,123,124,8,10,L 1,"18,039",2:44,In-Season Tournament
20,"Sat, Dec 2, 2023",4:00p,,Box Score,@,Los Angeles Clippers,L,,112,113,9,11,L 1,"19,370",2:20,
22,"Fri, Dec 8, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,OT,136,138,10,12,L 1,"17,112",2:37,
23,"Tue, Dec 12, 2023",10:00p,,Box Score,@,Phoenix Suns,L,,116,119,10,13,L 2,"17,071",2:38,
24,"Thu, Dec 14, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,113,121,10,14,L 3,"19,370",2:18,
26,"Sun, Dec 17, 2023",9:00p,,Box Score,@,Portland Trail Blazers,W,,118,114,12,14,W 2,"18,547",2:14,
30,"Mon, Dec 25, 2023",2:30p,,Box Score,@,Denver Nuggets,L,,114,120,15,15,L 1,"19,811",2:27,
