G,Date,Start (ET), , .1,homeaway,Opponent, .3, .4,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Wed, Oct 25, 2023",7:00p,,Box Score,@,Orlando Magic,L,,86,116,0,1,L 1,"18,846",2:14,
2,"Fri, Oct 27, 2023",8:00p,,Box Score,@,San Antonio Spurs,L,OT,122,126,0,2,L 2,"18,354",2:38,
10,"Fri, Nov 17, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,100,106,6,4,L 1,"19,370",2:27,In-Season Tournament
11,"Sun, Nov 19, 2023",9:30p,,Box Score,@,Los Angeles Lakers,L,,104,105,6,5,L 2,"18,997",2:21,
12,"Mon, Nov 20, 2023",10:00p,,Box Score,@,Golden State Warriors,L,,116,121,6,6,L 3,"18,064",2:09,
15,"Tue, Nov 28, 2023",8:30p,,Box Score,@,Dallas Mavericks,L,,115,121,8,7,L 1,"20,103",2:35,In-Season Tournament
16,"Wed, Nov 29, 2023",9:00p,,Box Score,@,Denver Nuggets,L,,124,134,8,8,L 2,"19,590",2:07,
17,"Sat, Dec 2, 2023",10:30p,,Box Score,@,Los Angeles Lakers,L,,97,107,8,9,L 3,"18,997",2:17,
19,"Fri, Dec 8, 2023",9:00p,,Box Score,@,Denver Nuggets,W,,114,106,10,9,W 2,"19,544",2:28,
22,"Fri, Dec 15, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,103,96,13,9,W 5,"16,941",2:20,
23,"Sun, Dec 17, 2023",7:00p,,Box Score,@,Milwaukee Bucks,L,,119,128,13,10,L 1,"17,341",2:21,
24,"Mon, Dec 18, 2023",7:00p,,Box Score,@,Cleveland Cavaliers,L,OT,130,135,13,11,L 2,"19,432",2:41,
27,"Sat, Dec 23, 2023",7:00p,,Box Score,@,New Orleans Pelicans,W,,106,104,15,12,W 2,"17,399",2:26,
35,"Mon, Jan 8, 2024",7:30p,,Box Score,@,Miami Heat,L,,113,120,18,17,L 1,"19,694",2:19,
36,"Wed, Jan 10, 2024",8:00p,,Box Score,@,Chicago Bulls,L,OT,119,124,18,18,L 2,"21,149",2:36,
37,"Fri, Jan 12, 2024",7:30p,,Box Score,@,Detroit Pistons,W,,112,110,19,18,W 1,"13,987",2:10,
38,"Sat, Jan 13, 2024",7:00p,,Box Score,@,Boston Celtics,L,,113,145,19,19,L 1,"19,156",2:06,
39,"Mon, Jan 15, 2024",1:00p,,Box Score,@,Philadelphia 76ers,L,,115,124,19,20,L 2,"20,822",2:25,
40,"Wed, Jan 17, 2024",7:30p,,Box Score,@,New York Knicks,L,,94,109,19,21,L 3,"19,439",2:15,
44,"Fri, Jan 26, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,138,104,21,23,W 1,"16,164",2:14,
45,"Sat, Jan 27, 2024",6:00p,,Box Score,@,Brooklyn Nets,L,,104,106,21,24,L 1,"17,732",2:26,
49,"Sun, Feb 4, 2024",7:00p,,Box Score,@,Minnesota Timberwolves,L,,90,111,23,26,L 1,"18,024",2:15,
50,"Tue, Feb 6, 2024",7:00p,,Box Score,@,Indiana Pacers,L,,129,132,23,27,L 2,"15,571",2:09,
51,"Fri, Feb 9, 2024",7:30p,,Box Score,@,Toronto Raptors,L,,104,107,23,28,L 3,"19,800",2:19,
52,"Sat, Feb 10, 2024",7:30p,,Box Score,@,Atlanta Hawks,L,,113,122,23,29,L 4,"17,503",2:19,
54,"Wed, Feb 14, 2024",8:00p,,Box Score,@,Memphis Grizzlies,L,,113,121,24,30,L 1,"15,012",2:22,
55,"Thu, Feb 22, 2024",8:00p,,Box Score,@,New Orleans Pelicans,L,,105,127,24,31,L 2,"17,421",2:18,
58,"Tue, Feb 27, 2024",10:00p,,Box Score,@,Oklahoma City Thunder,L,,95,112,25,33,L 2,"17,164",2:16,
59,"Thu, Feb 29, 2024",9:00p,,Box Score,@,Phoenix Suns,L,,105,110,25,34,L 3,"17,071",2:26,
60,"Sat, Mar 2, 2024",9:00p,,Box Score,@,Phoenix Suns,W,,118,109,26,34,W 1,"17,071",2:34,
63,"Fri, Mar 8, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,123,107,28,35,W 1,"18,139",2:06,
64,"Sun, Mar 10, 2024",6:00p,,Box Score,@,Sacramento Kings,W,,112,104,29,35,W 2,"18,022",2:18,
65,"Tue, Mar 12, 2024",8:30p,,Box Score,@,San Antonio Spurs,W,,103,101,30,35,W 3,"18,751",2:14,
68,"Tue, Mar 19, 2024",7:00p,,Box Score,@,Washington Wizards,W,,137,114,33,35,W 6,"14,137",2:11,
72,"Wed, Mar 27, 2024",8:00p,,Box Score,@,Oklahoma City Thunder,W,OT,132,126,37,35,W 10,"17,438",2:33,
73,"Fri, Mar 29, 2024",9:30p,,Box Score,@,Utah Jazz,W,,101,100,38,35,W 11,"18,206",2:12,
75,"Tue, Apr 2, 2024",8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,113,38,37,L 2,"18,024",2:13,
78,"Sun, Apr 7, 2024",3:30p,,Box Score,@,Dallas Mavericks,L,OT,136,147,38,40,L 5,"20,317",2:48,
80,"Thu, Apr 11, 2024",9:00p,,Box Score,@,Utah Jazz,L,,121,124,39,41,L 1,"18,206",2:18,
81,"Fri, Apr 12, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,116,107,40,41,W 1,"18,630",2:07,
82,"Sun, Apr 14, 2024",3:30p,,Box Score,@,Los Angeles Clippers,W,,116,105,41,41,W 2,"19,370",1:55,
