G,Date,Start (ET), , , ,Opponent, , ,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Wed, Oct 25, 2023",7:00p,,Box Score,@,Orlando Magic,L,,86,116,0,1,L 1,"18,846",2:14,
2,"Fri, Oct 27, 2023",8:00p,,Box Score,@,San Antonio Spurs,L,OT,122,126,0,2,L 2,"18,354",2:38,
3,"Sun, Oct 29, 2023",7:00p,,Box Score,,Golden State Warriors,L,,95,106,0,3,L 3,"18,055",2:17,
4,"Wed, Nov 1, 2023",8:00p,,Box Score,,Charlotte Hornets,W,,128,119,1,3,W 1,"16,263",2:08,
5,"Sat, Nov 4, 2023",8:00p,,Box Score,,Sacramento Kings,W,,107,89,2,3,W 2,"18,055",2:07,
6,"Mon, Nov 6, 2023",8:00p,,Box Score,,Sacramento Kings,W,,122,97,3,3,W 3,"15,130",2:17,
7,"Wed, Nov 8, 2023",8:00p,,Box Score,,Los Angeles Lakers,W,,128,94,4,3,W 4,"18,055",2:11,
8,"Fri, Nov 10, 2023",8:00p,,Box Score,,New Orleans Pelicans,W,,104,101,5,3,W 5,"16,236",2:28,In-Season Tournament
9,"Sun, Nov 12, 2023",7:00p,,Box Score,,Denver Nuggets,W,,107,104,6,3,W 6,"18,055",2:10,
10,"Fri, Nov 17, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,100,106,6,4,L 1,"19,370",2:27,In-Season Tournament
11,"Sun, Nov 19, 2023",9:30p,,Box Score,@,Los Angeles Lakers,L,,104,105,6,5,L 2,"18,997",2:21,
12,"Mon, Nov 20, 2023",10:00p,,Box Score,@,Golden State Warriors,L,,116,121,6,6,L 3,"18,064",2:09,
13,"Wed, Nov 22, 2023",8:00p,,Box Score,,Memphis Grizzlies,W,,111,91,7,6,W 1,"18,055",2:17,
14,"Fri, Nov 24, 2023",8:00p,,Box Score,,Denver Nuggets,W,,105,86,8,6,W 2,"18,055",2:07,In-Season Tournament
