G,Date,Start (ET), , .1,homeaway,Opponent, .3, .4,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Wed, Oct 25, 2023",7:00p,,Box Score,@,New York Knicks,W,,108,104,1,0,W 1,"19,812",2:39,
3,"Mon, Oct 30, 2023",7:00p,,Box Score,@,Washington Wizards,W,,126,107,3,0,W 3,"17,898",2:06,
5,"Sat, Nov 4, 2023",8:00p,,Box Score,@,Brooklyn Nets,W,,124,114,5,0,W 5,"17,983",2:10,
6,"Mon, Nov 6, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,109,114,5,1,L 1,"18,024",2:40,
7,"Wed, Nov 8, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,,103,106,5,2,L 2,"19,953",2:11,
11,"Wed, Nov 15, 2023",7:30p,,Box Score,@,Philadelphia 76ers,W,,117,107,9,2,W 4,"19,773",2:10,
12,"Fri, Nov 17, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,108,105,10,2,W 5,"19,800",2:02,In-Season Tournament
13,"Sun, Nov 19, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,102,100,11,2,W 6,"17,798",2:08,
14,"Mon, Nov 20, 2023",7:00p,,Box Score,@,Charlotte Hornets,L,OT,118,121,11,3,L 1,"19,134",2:19,
16,"Fri, Nov 24, 2023",2:30p,,Box Score,@,Orlando Magic,L,,96,113,12,4,L 1,"18,846",2:17,In-Season Tournament
20,"Mon, Dec 4, 2023",7:30p,,Box Score,@,Indiana Pacers,L,,112,122,15,5,L 1,"16,693",2:14,In-Season Tournament
26,"Tue, Dec 19, 2023",10:00p,,Box Score,@,Golden State Warriors,L,OT,126,132,20,6,L 1,"18,064",2:25,
27,"Wed, Dec 20, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,144,119,21,6,W 1,"17,874",2:11,
28,"Sat, Dec 23, 2023",3:30p,,Box Score,@,Los Angeles Clippers,W,,145,108,22,6,W 2,"19,370",2:09,
29,"Mon, Dec 25, 2023",5:00p,,Box Score,@,Los Angeles Lakers,W,,126,115,23,6,W 3,"18,997",2:17,
32,"Sun, Dec 31, 2023",7:00p,,Box Score,@,San Antonio Spurs,W,,134,101,26,6,W 6,"18,886",1:57,
33,"Tue, Jan 2, 2024",8:00p,,Box Score,@,Oklahoma City Thunder,L,,123,127,26,7,L 1,"18,203",2:16,
35,"Sat, Jan 6, 2024",7:00p,,Box Score,@,Indiana Pacers,W,,118,101,28,7,W 2,"17,274",2:11,
36,"Mon, Jan 8, 2024",7:00p,,Box Score,@,Indiana Pacers,L,,131,133,28,8,L 1,"16,009",2:24,
38,"Thu, Jan 11, 2024",7:30p,,Box Score,@,Milwaukee Bucks,L,,102,135,29,9,L 1,"17,781",2:12,
40,"Mon, Jan 15, 2024",7:30p,,Box Score,@,Toronto Raptors,W,,105,96,31,9,W 2,"19,278",2:06,
43,"Sun, Jan 21, 2024",7:00p,,Box Score,@,Houston Rockets,W,,116,107,33,10,W 1,"18,055",2:09,
44,"Mon, Jan 22, 2024",8:30p,,Box Score,@,Dallas Mavericks,W,,119,110,34,10,W 2,"20,277",2:07,
45,"Thu, Jan 25, 2024",7:30p,,Box Score,@,Miami Heat,W,,143,110,35,10,W 3,"20,074",2:02,
53,"Sun, Feb 11, 2024",2:00p,,Box Score,@,Miami Heat,W,,110,106,41,12,W 4,"20,049",2:21,
54,"Tue, Feb 13, 2024",7:30p,,Box Score,@,Brooklyn Nets,W,,118,110,42,12,W 5,"18,053",2:14,
56,"Thu, Feb 22, 2024",8:00p,,Box Score,@,Chicago Bulls,W,,129,112,44,12,W 7,"20,313",2:03,
57,"Sat, Feb 24, 2024",8:30p,,Box Score,@,New York Knicks,W,,116,102,45,12,W 8,"19,812",2:07,
61,"Tue, Mar 5, 2024",7:30p,,Box Score,@,Cleveland Cavaliers,L,,104,105,48,13,L 1,"19,432",2:11,
62,"Thu, Mar 7, 2024",10:00p,,Box Score,@,Denver Nuggets,L,,109,115,48,14,L 2,"19,855",2:24,
63,"Sat, Mar 9, 2024",8:30p,,Box Score,@,Phoenix Suns,W,,117,107,49,14,W 1,"17,071",2:12,
64,"Mon, Mar 11, 2024",10:30p,,Box Score,@,Portland Trail Blazers,W,,121,99,50,14,W 2,"18,480",1:53,
65,"Tue, Mar 12, 2024",9:00p,,Box Score,@,Utah Jazz,W,,123,107,51,14,W 3,"18,206",2:00,
67,"Sun, Mar 17, 2024",6:00p,,Box Score,@,Washington Wizards,W,,130,104,53,14,W 5,"20,333",2:12,
70,"Fri, Mar 22, 2024",7:00p,,Box Score,@,Detroit Pistons,W,,129,102,56,14,W 8,"19,994",1:59,
71,"Sat, Mar 23, 2024",8:00p,,Box Score,@,Chicago Bulls,W,,124,113,57,14,W 9,"21,198",2:00,
72,"Mon, Mar 25, 2024",7:30p,,Box Score,@,Atlanta Hawks,L,,118,120,57,15,L 1,"17,405",2:11,
73,"Thu, Mar 28, 2024",7:30p,,Box Score,@,Atlanta Hawks,L,OT,122,123,57,16,L 2,"17,743",2:24,
74,"Sat, Mar 30, 2024",5:00p,,Box Score,@,New Orleans Pelicans,W,,104,92,58,16,W 1,"17,932",2:01,
75,"Mon, Apr 1, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,118,104,59,16,W 2,"19,238",1:54,
79,"Tue, Apr 9, 2024",7:30p,,Box Score,@,Milwaukee Bucks,L,,91,104,62,17,L 1,"17,493",1:57,
